,accuracy,auroc,auprc,f1_score,prec,rec,sensitivity,spec,aprec,br_score,tn,fp,fn,tp
NORM,0.835091743119266,0.9171729576353853,0.8532276746017496,0.8245057359043202,0.7698268003646308,0.8875459800315292,0.8875459800315292,0.7944647944647945,0.8804624939511937,0.14188074147349983,1952,505,214,1689
Acute MI,0.808256880733945,0.44341435185185185,0.09560539132404575,0.01647058823529412,0.008641975308641974,0.175,0.175,0.8141203703703703,0.00862373661577449,0.010083108688900461,3517,803,33,7
Old MI,0.6720183486238532,0.7874865858573052,0.632900833414224,0.5468948035487959,0.4149038461538462,0.8020446096654275,0.8020446096654275,0.629415347137637,0.5027712543002799,0.15880206392387167,2067,1217,213,863
STTC,0.7169724770642202,0.7427665996091044,0.5697739878367484,0.5087579617834396,0.43947730398899587,0.6039697542533081,0.6039697542533081,0.7531798909751666,0.5321554586535023,0.15932133507432059,2487,815,419,639
CD,0.7754587155963303,0.8129775429231055,0.6144124289708557,0.565468264536174,0.5031595576619273,0.6453900709219859,0.6453900709219859,0.8135191224429291,0.6526872058769042,0.13186835921388748,2744,629,350,637
HYP,0.7559633027522936,0.7556999866437253,0.48585151026159173,0.3926940639269407,0.2819672131147541,0.6466165413533834,0.6466165413533834,0.7711598746081505,0.429213090489047,0.09440616379986681,2952,876,188,344
PAC,0.28623853211009176,0.5292996930094461,0.37553096219724813,0.03052959501557632,0.015590200445434299,0.7313432835820896,0.7313432835820896,0.27929187048683907,0.01893289526369894,0.01600053294633742,1199,3094,18,49
PVC,0.603440366972477,0.7078417721446034,0.4118397275507367,0.14953271028037382,0.08333333333333333,0.7272727272727273,0.7272727272727273,0.5972054926523729,0.09592888193326812,0.047529742586370306,2479,1672,57,152
AFIB/AFL,0.6135321100917431,0.7321864781220804,0.43709431592003306,0.2092914124824026,0.12205801860974275,0.7335526315789473,0.7335526315789473,0.6045364891518737,0.1485462445483952,0.062368909590061646,2452,1604,81,223
TACHY,0.6153669724770642,0.7484752739133472,0.48963997349965055,0.15855494229804312,0.08705234159779614,0.8876404494382022,0.8876404494382022,0.6037780966044954,0.07343458603868305,0.039384882517064415,2525,1657,20,158
BRADY,0.615137614678899,0.7469533075414033,0.42336954686090256,0.11684210526315789,0.06317586795674444,0.7762237762237763,0.7762237762237763,0.6096751244960873,0.08329613400769731,0.0318985851107785,2571,1646,32,111
